e; 17.157975
s; 7.690925
o; 7.314580
n; 7.212349
r; 7.080909
u; 7.066304
a; 6.918013
i; 6.819152
t; 6.688835
l; 4.415036
d; 3.373627
m; 3.253421
c; 2.843373
p; 2.601838
v; 2.351316
f; 1.500888
q; 1.384052
j; 0.843688
g; 0.832453
b; 0.738086
h; 0.734716
z; 0.504415
x; 0.430269
y; 0.243782
k; 0.000000
w; 0.000000
re; 2.362576
ou; 2.350219
es; 2.261467
en; 1.997461
on; 1.937919
le; 1.737948
et; 1.572804
de; 1.515509
er; 1.468325
te; 1.441362
ne; 1.416647
qu; 1.382944
nt; 1.377327
vo; 1.324526
se; 1.320032
ai; 1.318908
us; 1.279588
me; 1.124555
ur; 1.088605
el; 1.066136
is; 1.040297
eu; 1.021199
ie; 1.017829
em; 0.977385
ce; 0.972892
oi; 0.923461
in; 0.909979
an; 0.908856
ns; 0.851561
ar; 0.829092
ue; 0.825722
la; 0.822352
ee; 0.812241
ec; 0.809994
it; 0.806624
ir; 0.797636
or; 0.778538
ri; 0.767304
il; 0.741465
ma; 0.726860
tr; 0.725737
ea; 0.723490
ui; 0.721243
ed; 0.716749
so; 0.699898
ev; 0.693157
ra; 0.686417
ut; 0.678553
po; 0.665071
ep; 0.654961
sa; 0.653837
co; 0.644850
st; 0.631368
nd; 0.617887
ss; 0.613394
mo; 0.584184
au; 0.552728
pa; 0.538124
un; 0.537000
ta; 0.532506
rt; 0.531383
je; 0.529136
do; 0.508914
sd; 0.494310
to; 0.493186
ve; 0.492063
ez; 0.488693
si; 0.469594
am; 0.456113
nn; 0.454990
fa; 0.428027
nc; 0.419040
as; 0.410052
td; 0.410052
ll; 0.406682
ti; 0.401065
av; 0.395448
pe; 0.389831
sp; 0.385337
ro; 0.383090
da; 0.372979
pr; 0.369609
ch; 0.368486
sc; 0.368486
rd; 0.363992
al; 0.361745
ac; 0.352757
eq; 0.347140
ts; 0.341523
di; 0.340400
ei; 0.339276
rs; 0.333659
ux; 0.329165
tt; 0.322425
na; 0.317931
no; 0.315684
mi; 0.312314
om; 0.302203
su; 0.299956
