
=== freq of words of size 1 ===

za; 0.006660
hy; 0.006450
oo; 0.006241
dp; 0.006083
hr; 0.006083
yl; 0.006083
ms; 0.005926
fs; 0.005873
tq; 0.005873
lp; 0.005769
tv; 0.005716
zo; 0.005716
sj; 0.005611
ty; 0.005559
gm; 0.005506
az; 0.005297
ym; 0.005297
zm; 0.005297
ao; 0.005192
lb; 0.004930
ae; 0.004772
cq; 0.004667
xv; 0.004615
lg; 0.004510
gs; 0.004405
sh; 0.004248
uz; 0.004248
we; 0.004248
ij; 0.003881
tg; 0.003881
sb; 0.003776
lv; 0.003723
tn; 0.003671
bj; 0.003514
zi; 0.003461
dy; 0.003409
cp; 0.003251
bb; 0.003147
xq; 0.003147
yp; 0.003147
tb; 0.002937
uh; 0.002937
xh; 0.002937
zl; 0.002937
nm; 0.002884
tz; 0.002884
xn; 0.002832
mr; 0.002675
mt; 0.002622
nx; 0.002622
oa; 0.002570
yg; 0.002570
yn; 0.002570
by; 0.002517
aa; 0.002465
pm; 0.002412
xl; 0.002412
xm; 0.002412
ck; 0.002360
np; 0.002307
xo; 0.002203
ke; 0.002150
rj; 0.002098
jy; 0.001993
rh; 0.001993
hl; 0.001888
oj; 0.001783
ml; 0.001678
yd; 0.001678
yt; 0.001678
py; 0.001573
xs; 0.001573
dc; 0.001468
ih; 0.001468
vl; 0.001468
nb; 0.001363
zu; 0.001363
rz; 0.001311
zd; 0.001311
sr; 0.001259
lf; 0.001206
sg; 0.001206
ki; 0.001154
ox; 0.001154
yc; 0.001154
ax; 0.001049
bt; 0.001049
ow; 0.001049
gy; 0.000996
bd; 0.000944
dv; 0.000944
ht; 0.000944
pc; 0.000944
ln; 0.000892
xd; 0.000892
gh; 0.000839
ji; 0.000839
ak; 0.000787
fd; 0.000787
hm; 0.000787
ko; 0.000787
dt; 0.000734
ek; 0.000734
gg; 0.000734
wi; 0.000734
zn; 0.000734
dl; 0.000682
nk; 0.000682
xj; 0.000682
dj; 0.000629
dd; 0.000577
xy; 0.000577
zy; 0.000577
hn; 0.000524
sk; 0.000524
vc; 0.000524
bn; 0.000472
sw; 0.000472
yb; 0.000472
bm; 0.000420
cb; 0.000420
cd; 0.000420
ka; 0.000420
ky; 0.000420
mh; 0.000420
xx; 0.000420
yx; 0.000420
zc; 0.000420
zz; 0.000420
cm; 0.000367
dg; 0.000367
dn; 0.000367
ew; 0.000367
gc; 0.000367
gz; 0.000367
ik; 0.000367
xr; 0.000367
xu; 0.000367
yv; 0.000367
bv; 0.000315
hs; 0.000315
ks; 0.000315
lz; 0.000315
oz; 0.000315
rk; 0.000315
xf; 0.000315
yi; 0.000315
zj; 0.000315
cj; 0.000262
cv; 0.000262
kh; 0.000262
kl; 0.000262
qs; 0.000262
vd; 0.000262
wu; 0.000262
zt; 0.000262
bh; 0.000210
fc; 0.000210
fm; 0.000210
fp; 0.000210
gf; 0.000210
kc; 0.000210
mw; 0.000210
ok; 0.000210
vb; 0.000210
vf; 0.000210
vm; 0.000210
vp; 0.000210
